chunk_strategy,search_method,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,product_confusion_count,version_mismatch_count
heading,bm25,none,1,2,8,0.571800017496571,2,1.0,1.0,1.0,1.0,0.08974999946076423,0,0
heading,bm25,none,3,2,8,0.571800017496571,2,0.3333333333333333,1.0,1.0,1.0,0.08974999946076423,0,0
heading,bm25,none,5,2,8,0.571800017496571,2,0.2,1.0,1.0,1.0,0.08974999946076423,0,0
heading,bm25,product,1,2,8,0.571800017496571,2,1.0,1.0,1.0,1.0,0.09615000453777611,0,0
heading,bm25,product,3,2,8,0.571800017496571,2,0.3333333333333333,1.0,1.0,1.0,0.09615000453777611,0,0
heading,bm25,product,5,2,8,0.571800017496571,2,0.2,1.0,1.0,1.0,0.09615000453777611,0,0
heading,bm25,product_and_version,1,2,8,0.571800017496571,2,1.0,1.0,1.0,1.0,0.062099992646835744,0,0
heading,bm25,product_and_version,3,2,8,0.571800017496571,2,0.3333333333333333,1.0,1.0,1.0,0.062099992646835744,0,0
heading,bm25,product_and_version,5,2,8,0.571800017496571,2,0.2,1.0,1.0,1.0,0.062099992646835744,0,0
structured,keyword,none,1,2,6,0.4317999992053956,2,1.0,1.0,1.0,1.0,0.09349999891128391,0,0
structured,keyword,none,3,2,6,0.4317999992053956,2,0.3333333333333333,1.0,1.0,1.0,0.09349999891128391,0,0
structured,keyword,none,5,2,6,0.4317999992053956,2,0.2,1.0,1.0,1.0,0.09349999891128391,0,0
structured,keyword,product,1,2,6,0.4317999992053956,2,1.0,1.0,1.0,1.0,0.1262500009033829,0,0
structured,keyword,product,3,2,6,0.4317999992053956,2,0.3333333333333333,1.0,1.0,1.0,0.1262500009033829,0,0
structured,keyword,product,5,2,6,0.4317999992053956,2,0.2,1.0,1.0,1.0,0.1262500009033829,0,0
structured,keyword,product_and_version,1,2,6,0.4317999992053956,2,1.0,1.0,1.0,1.0,0.07575000927317888,0,0
structured,keyword,product_and_version,3,2,6,0.4317999992053956,2,0.3333333333333333,1.0,1.0,1.0,0.07575000927317888,0,0
structured,keyword,product_and_version,5,2,6,0.4317999992053956,2,0.2,1.0,1.0,1.0,0.07575000927317888,0,0
structured,bm25,none,1,2,6,0.5301999917719513,2,1.0,1.0,1.0,1.0,0.0695999915478751,0,0
structured,bm25,none,3,2,6,0.5301999917719513,2,0.3333333333333333,1.0,1.0,1.0,0.0695999915478751,0,0
structured,bm25,none,5,2,6,0.5301999917719513,2,0.2,1.0,1.0,1.0,0.0695999915478751,0,0
structured,bm25,product,1,2,6,0.5301999917719513,2,1.0,1.0,1.0,1.0,0.07419999747071415,0,0
structured,bm25,product,3,2,6,0.5301999917719513,2,0.3333333333333333,1.0,1.0,1.0,0.07419999747071415,0,0
structured,bm25,product,5,2,6,0.5301999917719513,2,0.2,1.0,1.0,1.0,0.07419999747071415,0,0
structured,bm25,product_and_version,1,2,6,0.5301999917719513,2,1.0,1.0,1.0,1.0,0.06249999569263309,0,0
structured,bm25,product_and_version,3,2,6,0.5301999917719513,2,0.3333333333333333,1.0,1.0,1.0,0.06249999569263309,0,0
structured,bm25,product_and_version,5,2,6,0.5301999917719513,2,0.2,1.0,1.0,1.0,0.06249999569263309,0,0
