chunk_strategy,search_method,reranker,filter_mode,top_k,document_count,chunk_count,index_build_time_ms,query_count,mean_precision_at_k,mean_recall_at_k,mrr,mean_ndcg_at_k,mean_search_time_ms,product_confusion_count,version_mismatch_count
fixed,hash_embedding,none,product_and_version,3,2,2,0.8074000070337206,2,0.3333333333333333,1.0,1.0,1.0,0.3130999975837767,0,0
fixed,hash_embedding,none,product_and_version,5,2,2,0.8074000070337206,2,0.2,1.0,1.0,1.0,0.3130999975837767,0,0
fixed,hash_embedding,lexical,none,1,2,2,0.8074000070337206,2,1.0,1.0,1.0,1.0,0.25409998488612473,0,0
fixed,hash_embedding,lexical,none,3,2,2,0.8074000070337206,2,0.3333333333333333,1.0,1.0,1.0,0.25409998488612473,0,0
fixed,hash_embedding,lexical,none,5,2,2,0.8074000070337206,2,0.2,1.0,1.0,1.0,0.25409998488612473,0,0
fixed,hash_embedding,lexical,product,1,2,2,0.8074000070337206,2,1.0,1.0,1.0,1.0,0.2747999969869852,0,0
fixed,hash_embedding,lexical,product,3,2,2,0.8074000070337206,2,0.3333333333333333,1.0,1.0,1.0,0.2747999969869852,0,0
fixed,hash_embedding,lexical,product,5,2,2,0.8074000070337206,2,0.2,1.0,1.0,1.0,0.2747999969869852,0,0
fixed,hash_embedding,lexical,product_and_version,1,2,2,0.8074000070337206,2,1.0,1.0,1.0,1.0,0.24539999139960855,0,0
fixed,hash_embedding,lexical,product_and_version,3,2,2,0.8074000070337206,2,0.3333333333333333,1.0,1.0,1.0,0.24539999139960855,0,0
fixed,hash_embedding,lexical,product_and_version,5,2,2,0.8074000070337206,2,0.2,1.0,1.0,1.0,0.24539999139960855,0,0
fixed,hybrid,none,none,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.20379999477881938,0,0
fixed,hybrid,none,none,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.20379999477881938,0,0
fixed,hybrid,none,none,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.20379999477881938,0,0
fixed,hybrid,none,product,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.17334999574813992,0,0
fixed,hybrid,none,product,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.17334999574813992,0,0
fixed,hybrid,none,product,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.17334999574813992,0,0
fixed,hybrid,none,product_and_version,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.4386999935377389,0,0
fixed,hybrid,none,product_and_version,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.4386999935377389,0,0
fixed,hybrid,none,product_and_version,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.4386999935377389,0,0
fixed,hybrid,lexical,none,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.46579999616369605,0,0
fixed,hybrid,lexical,none,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.46579999616369605,0,0
fixed,hybrid,lexical,none,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.46579999616369605,0,0
fixed,hybrid,lexical,product,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.261199995293282,0,0
fixed,hybrid,lexical,product,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.261199995293282,0,0
fixed,hybrid,lexical,product,5,2,2,0.8806999830994755,2,0.2,1.0,1.0,1.0,0.261199995293282,0,0
fixed,hybrid,lexical,product_and_version,1,2,2,0.8806999830994755,2,1.0,1.0,1.0,1.0,0.29984999855514616,0,0
fixed,hybrid,lexical,product_and_version,3,2,2,0.8806999830994755,2,0.3333333333333333,1.0,1.0,1.0,0.29984999855514616,0,0
